338,SG MATI,SG MATI,18
339,LUBUK KERIANG,LUBUK KERIANG,18
340,BUKIT RAYA BARAT,BUKIT RAYA BARAT,19
341,BUKIT SENI,BUKIT SENI,19
342,KUBANG ANAK GAJAH,KUBANG ANAK GAJAH,19
343,TEMPOYAK,TEMPOYAK,19
344,BUKIT RAYA TIMUR,BUKIT RAYA TIMUR,19
345,BATU MENUNGGUL,BATU MENUNGGUL,19
346,ALOR PARIT,ALOR PARIT,19
347,PAYA SENA,PAYA SENA,19
348,BONGGOL MASJID,BONGGOL MASJID,19
349,ALOR PARIT BATU 16,ALOR PARIT BATU 16,19
350,KG 15 RELONG,KG 15 RELONG,19
351,TANJUNG RADIN,TANJUNG RADIN,19
352,BUKIT JAMBUL,BUKIT JAMBUL,19
353,BUKIT RAYA UTARA,BUKIT RAYA UTARA,19
354,BANGGOL BESI,BANGGOL BESI,20
355,KG. PETANI BARAT,KG. PETANI BARAT,20
356,KG BANGGOL BASIN,KG BANGGOL BASIN,20
357,PAYA KERCHUT,PAYA KERCHUT,20
358,PAYA NEDAM,PAYA NEDAM,20
359,TANJUNG RADIN,TANJUNG RADIN,20
360,KUBANG TEREDEH,KUBANG TEREDEH,20
361,MAJAPAHIT,MAJAPAHIT,20
362,KG LAHAR BATU,KG LAHAR BATU,20
363,CHANGKAT NERING,CHANGKAT NERING,20
364,KG LAHAR BUAYA,KG LAHAR BUAYA,20
365,KG CHAROK KUDONG,KG CHAROK KUDONG,20
366,CHEGAR,CHEGAR,20
367,KG KEDAH,KG KEDAH,20
368,KG BUKIT KECHIK,KG BUKIT KECHIK,20
369,KG BGL TAMBAK,KG BGL TAMBAK,20
370,KG GAJAH MATI,KG GAJAH MATI,20
371,PERGAM 1,PERGAM 1,21
372,PERGAM 2,PERGAM 2,21
373,PERGAM 3,PERGAM 3,21
374,ALOR IBUS,ALOR IBUS,21
375,TOK TONG,TOK TONG,21
376,SEMATANG PINANG,SEMATANG PINANG,21
377,SG. PAPAN,SG. PAPAN,21
378,TELUK BULANG,TELUK BULANG,21
379,ALOR PULAI,ALOR PULAI,21
380,SRI PANTAI,SRI PANTAI,21
381,ALOR IBUS 2,ALOR IBUS 2,21
382,TELOK CHENGAI DALAM,TELOK CHENGAI DALAM,21
383,KG PERLIS,KG PERLIS,21
384,SEBERANG ALOR,SEBERANG ALOR,21
385,SELARONG BATAK,SELARONG BATAK,21
386,KEPALA PARIT,KEPALA PARIT,22
387,KERIANG PULAU,KERIANG PULAU,22
